rowid,gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
59,2018020900,/api/v1/game/2018020900/feed/live,R,20182019,2019-02-17T01:30:00Z,Final,7,Final,7,FALSE,5,33,21,3,league,29,Columbus Blue Jackets,/api/v1/teams/29,2,24,26,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020900/content
60,2018020912,/api/v1/game/2018020912/feed/live,R,20182019,2019-02-19T01:30:00Z,Final,7,Final,7,FALSE,7,22,32,5,league,9,Ottawa Senators,/api/v1/teams/9,8,25,26,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020912/content
61,2018020925,/api/v1/game/2018020925/feed/live,R,20182019,2019-02-21T00:30:00Z,Final,7,Final,7,FALSE,5,26,26,9,league,16,Chicago Blackhawks,/api/v1/teams/16,4,23,29,9,league,17,Detroit Red Wings,/api/v1/teams/17,5145,Little Caesars Arena,/api/v1/venues/5145,/api/v1/game/2018020925/content
62,2018020942,/api/v1/game/2018020942/feed/live,R,20182019,2019-02-23T00:30:00Z,Preview,1,Scheduled,1,FALSE,0,25,24,11,league,21,Colorado Avalanche,/api/v1/teams/21,0,26,26,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020942/content
63,2018020958,/api/v1/game/2018020958/feed/live,R,20182019,2019-02-24T20:00:00Z,Preview,1,Scheduled,1,FALSE,0,29,25,5,league,25,Dallas Stars,/api/v1/teams/25,0,26,26,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020958/content
64,2018020983,/api/v1/game/2018020983/feed/live,R,20182019,2019-02-28T03:00:00Z,Preview,1,Scheduled,1,FALSE,0,26,26,9,league,16,Chicago Blackhawks,/api/v1/teams/16,0,24,27,9,league,24,Anaheim Ducks,/api/v1/teams/24,5046,Honda Center,/api/v1/venues/5046,/api/v1/game/2018020983/content
65,2018021000,/api/v1/game/2018021000/feed/live,R,20182019,2019-03-02T21:00:00Z,Preview,1,Scheduled,1,FALSE,0,26,26,9,league,16,Chicago Blackhawks,/api/v1/teams/16,0,23,30,6,league,26,Los Angeles Kings,/api/v1/teams/26,NA,STAPLES Center,/api/v1/venues/null,/api/v1/game/2018021000/content
66,2018021016,/api/v1/game/2018021016/feed/live,R,20182019,2019-03-04T03:00:00Z,Preview,1,Scheduled,1,FALSE,0,26,26,9,league,16,Chicago Blackhawks,/api/v1/teams/16,0,35,17,8,league,28,San Jose Sharks,/api/v1/teams/28,NA,SAP Center at San Jose,/api/v1/venues/null,/api/v1/game/2018021016/content
67,2018021038,/api/v1/game/2018021038/feed/live,R,20182019,2019-03-08T01:30:00Z,Preview,1,Scheduled,1,FALSE,0,28,24,7,league,7,Buffalo Sabres,/api/v1/teams/7,0,26,26,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018021038/content
68,2018021057,/api/v1/game/2018021057/feed/live,R,20182019,2019-03-10T01:00:00Z,Preview,1,Scheduled,1,FALSE,0,26,26,9,league,16,Chicago Blackhawks,/api/v1/teams/16,0,29,25,5,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018021057/content
69,2018021069,/api/v1/game/2018021069/feed/live,R,20182019,2019-03-12T00:30:00Z,Preview,1,Scheduled,1,FALSE,0,27,28,5,league,53,Arizona Coyotes,/api/v1/teams/53,0,26,26,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018021069/content
70,2018021080,/api/v1/game/2018021080/feed/live,R,20182019,2019-03-13T23:00:00Z,Preview,1,Scheduled,1,FALSE,0,26,26,9,league,16,Chicago Blackhawks,/api/v1/teams/16,0,36,19,4,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018021080/content
